month,TigacellID,prob_l95,prob_median,prob_u95,sd
10,-3.75_38.85,0,0.012,0.16,0.0496323345395371
10,-3.75_40.2,0,0.011,0.168,0.0507478301972589
10,-3.75_40.25,0,0.009,0.077,0.0249898505251432
10,-3.75_40.3,0,0.01,0.126,0.0364103883221782
10,-3.75_40.35,0,0.008,0.074,0.0253921641051262
10,-3.75_40.4,0,0.008,0.079,0.0224128118238045
10,-3.75_40.45,0,0.008,0.076,0.0257242559568491
10,-3.75_40.5,0,0.01,0.124,0.0373138588756019
10,-3.75_40.55,0,0.011,0.138,0.0420812977362968
10,-3.75_40.6,0,0.01,0.1,0.0300191880034794
10,-3.75_40.75,0,0.012,0.193024999999998,0.0571835293070673
10,-3.75_40.85,0,0.009,0.102,0.0301621088424575
10,-3.75_41.1,0,0.012,0.16,0.0474595557874562
10,-3.75_41.5,0,0.012,0.148,0.0447582967580489
10,-3.75_41.6,0,0.012,0.188,0.0590485295874891
10,-3.75_42.05,0,0.012,0.187,0.058286645371587
10,-3.75_42.25,0,0.012,0.172,0.0511265886534625
10,-3.75_42.3,0,0.01,0.130024999999998,0.0393133439509409
10,-3.75_42.35,0,0.012,0.153,0.0455021215419904
10,-3.75_42.95,0,0.012,0.201,0.0602170056627306
10,-3.75_43.25,0,0.01,0.12,0.0386780649476367
10,-3.75_43.3,0,0.01,0.097,0.0290275468494236
10,-3.75_43.35,0,0.01,0.11,0.0320962940333482
10,-3.7_36.7,0.006,0.058,0.248,0.0640915169163816
10,-3.7_36.75,0,0.011,0.12,0.0335016076579033
10,-3.7_36.8,0,0.013,0.181,0.0579720411859968
10,-3.7_37.05,0,0.011,0.123,0.0360832357544456
10,-3.7_37.1,0,0.012,0.166,0.0521841271661867
10,-3.7_37.15,0,0.012,0.196,0.06074949239543
10,-3.7_37.2,0,0.01,0.113,0.0342227283047437
10,-3.7_37.25,0,0.012,0.168,0.0591424641449997
10,-3.7_38.85,0,0.012,0.169,0.0517114445610896
10,-3.7_40.1,0,0.01,0.126024999999998,0.038036467545502
10,-3.7_40.2,0,0.012,0.17,0.0523420600797002
10,-3.7_40.25,0,0.01,0.125,0.0383886135964252
10,-3.7_40.35,0,0.008,0.0720249999999978,0.0205667899245736
10,-3.7_40.4,0,0.008,0.078,0.0221857924197525
10,-3.7_40.45,0,0.008,0.072,0.0227019033487152
10,-3.7_40.5,0,0.009,0.08,0.0245491316142399
10,-3.7_40.75,0,0.011,0.147,0.0445584538261102
10,-3.7_40.85,0,0.011,0.169,0.053140422930536
10,-3.7_41.6,0,0.012,0.19,0.0562192537941226
10,-3.7_41.65,0,0.012,0.178,0.0556983503513319
10,-3.7_41.7,0,0.012,0.156,0.0463922885959992
10,-3.7_42.1,0,0.011,0.188,0.0538577882784729
10,-3.7_42.25,0,0.011,0.139,0.0428902627298327
10,-3.7_42.3,0,0.009,0.095,0.0301493636053119
10,-3.7_42.35,0,0.009,0.095,0.0285462529054869
10,-3.7_42.5,0,0.012,0.15,0.0443010515066787
10,-3.7_42.95,0,0.011,0.154,0.0487538851641833
10,-3.7_43.35,0,0.012,0.161,0.0493149668199122
10,-3.85_36.75,0,0.012,0.178024999999998,0.0528313761392741
10,-3.85_37.75,0,0.012,0.185,0.0556122155755907
10,-3.85_40,0,0.013,0.193,0.0592907793979749
10,-3.85_40.1,0,0.011,0.152,0.0447689952530167
10,-3.85_40.15,0,0.012,0.192024999999998,0.0586194728862044
10,-3.85_40.2,0,0.012,0.179,0.0586958840905188
10,-3.85_40.25,0,0.009,0.088,0.0259777123524635
10,-3.85_40.3,0,0.01,0.100024999999998,0.0294182279565627
10,-3.85_40.35,0,0.009,0.098,0.0301437653481699
10,-3.85_40.4,0,0.011,0.115,0.0368150832322071
10,-3.85_40.45,0,0.01,0.128,0.0394853297791504
10,-3.85_40.6,0,0.012,0.212,0.0635628829283411
10,-3.85_40.85,0,0.012,0.166,0.0499602836512175
10,-3.85_42.7,0,0.012,0.155,0.0493380797292716
10,-3.85_43.35,0,0.01,0.105,0.0323981952859807
10,-3.85_43.4,0,0.011,0.131,0.0389043351172557
10,-3.85_43.45,0,0.01,0.117,0.0350940086302425
10,-3.8_36.7,0,0.012,0.162,0.0486342103791447
10,-3.8_37.1,0,0.012,0.202,0.0605945021702519
10,-3.8_37.15,0,0.012,0.148024999999998,0.0444282512228048
10,-3.8_37.2,0,0.012,0.184,0.054154686650665
10,-3.8_37.75,0.001,0.014,0.101,0.028002716938958
10,-3.8_40.1,0,0.012,0.198,0.0601449071462076
10,-3.8_40.2,0,0.011,0.151,0.0459638488904678
10,-3.8_40.25,0,0.009,0.082,0.0241451224420803
10,-3.8_40.3,0,0.011,0.121,0.0365671154527075
10,-3.8_40.35,0,0.009,0.091,0.0263057982418546
10,-3.8_40.45,0,0.01,0.138,0.0409921978540318
10,-3.8_40.5,0,0.012,0.172,0.0548158491354649
10,-3.8_40.6,0,0.01,0.115,0.0346353345754658
10,-3.8_40.7,0,0.012,0.169,0.0519940561124436
10,-3.8_40.75,0,0.011,0.148,0.0448437074227619
10,-3.8_40.85,0,0.012,0.148,0.0460499530666276
10,-3.8_40.95,0,0.011,0.17,0.0507295691912699
10,-3.8_41.05,0,0.012,0.173,0.0525966309409686
10,-3.8_41.1,0,0.011,0.169,0.0537315635325645
10,-3.8_41.35,0,0.012,0.169,0.048113097160485
10,-3.8_41.6,0,0.012,0.154,0.0449296012132202
10,-3.8_42.3,0,0.012,0.162024999999998,0.0487103662853799
10,-3.8_42.35,0,0.011,0.124,0.0396734488527118
10,-3.8_43.45,0,0.01,0.109,0.0330158854972116
10,-3.95_36.7,0,0.011,0.127,0.038433436547092
10,-3.95_37.15,0,0.012,0.172,0.0543762067100523
10,-3.95_37.45,0,0.012,0.164,0.0501787966465369
